web_scraper_order,web_scraper_start_url,price,title,price2,soluongban ,giam gia,Tính_Năng_Phụ,Quà_Tặng,RAM,Ổ_Cứng,Đánh_Giá_Sao,Trả_Góp,Trị_Giá_Giảm_Thêm,Link_Ảnh
1778051875-1,https://www.thegioididong.com/laptop,16.490.000₫,HP 15 fc0023AU R5 7520U (D0BH1PA),17.590.000₫,• Đã bán 2k,-0.06,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/361311/hp-15-fc0023au-r5-7520u-d0bh1pa-thumb-639030592238863081-600x600.jpg
1778051875-2,https://www.thegioididong.com/laptop,15.990.000₫,MacBook Neo 13 inch A18 Pro 8GB/256GB,16.490.000₫,• Đã bán 811,,So sánh,Quà  500.000₫,RAM 8 GB,SSD 256 GB,4.9,Trả chậm 0% trả trước 0đ,500.000₫,https://cdn.tgdd.vn/Products/Images/44/363537/macbook-neo-13-inch-a18-pro-8gb-256gb-xanh-duong-thumb-600x600.jpg
1778051875-3,https://www.thegioididong.com/laptop,15.990.000₫,Asus Vivobook Go E1504FA R5 7520U (BQ1160W),16.990.000₫,"• Đã bán 4,7k",-0.05,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357993/asus-vivobook-go-e1504fa-r5-7520u-bq1160w-thumb-638966564562227379-600x600.jpg
1778051875-4,https://www.thegioididong.com/laptop,20.990.000₫,Dell 15 DC15250 i5 1334U (DC5I5897W1),23.490.000₫,• Đã bán 705,-0.1,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362025/dell-15-dc15250-i5-1334u-dc5i5897w1-thumb-639046899814234946-600x600.jpg
1778051875-5,https://www.thegioididong.com/laptop,29.390.000₫,MacBook Air 13 inch M5 16GB/512GB,29.990.000₫,• Đã bán 894,,So sánh,Quà  500.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,500.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/363474/macbook-air-13-inch-m5-16gb-512gb-thumb-2-639086548040650530-600x600.jpg
1778051875-6,https://www.thegioididong.com/laptop,14.490.000₫,HP 245 G10 R5 7530U (B8PF9AT),15.590.000₫,"• Đã bán 5,3k",-0.07,So sánh,Quà  100.000₫,RAM 8 GB,SSD 512 GB,4.9,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337420/hp-245-g10-r5-b8pf9at-638828180409840419-600x600.jpg
1778051875-7,https://www.thegioididong.com/laptop,15.490.000₫,Acer Aspire Lite 14 AL14 71M 52GQ i5 12500H (NX.J4ASV.001),18.990.000₫,"• Đã bán 1,2k",-0.18,So sánh,,RAM 16 GB,SSD 512 GB,4.9,Trả chậm 0% trả trước 0đ,,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341605/acer-aspire-lite-14-al14-71m-52gq-i5-12500h-nx-j4asv-001-thumb-2-638905338028489494-600x600.jpg
1778051875-8,https://www.thegioididong.com/laptop,17.290.000₫,Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),18.990.000₫,• Đã bán 8k,-0.08,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,4.9,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334442/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn-638775478046964172-600x600.jpg
1778051875-9,https://www.thegioididong.com/laptop,19.990.000₫,Dell 15 DC15250 i5 1334U (DC5I5357W1),21.890.000₫,"• Đã bán 3,3k",-0.08,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340561/dell-15-dc15250-i5-dc5i5357w1-638900114676211077-600x600.jpg
1778051875-10,https://www.thegioididong.com/laptop,14.990.000₫,Asus Vivobook 15 X1504VA i3 1315U (NJ1634W),15.890.000₫,"• Đã bán 7,9k",-0.05,So sánh,Quà  100.000₫,RAM 8 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334792/asus-vivobook-15-x1504va-i3-nj1634w-thumb-638760891054481940-600x600.jpg
1778051875-11,https://www.thegioididong.com/laptop,19.990.000₫,MSI Gaming Thin 15 B13UC i5 13420H (3247VN_16GB),26.890.000₫,• Đã bán 510,-0.25,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,4.9,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-12,https://www.thegioididong.com/laptop,15.190.000₫,Acer Aspire Lite 15 AL15 42P R50R R5 7430U (NX.D34SV.004),16.190.000₫,"• Đã bán 1,2k",-0.06,So sánh,,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,,
1778051875-13,https://www.thegioididong.com/laptop,16.490.000₫,HP 15 fc0655AU R5 7430U (C81NGPA),17.590.000₫,"• Đã bán 3,9k",-0.06,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-14,https://www.thegioididong.com/laptop,22.890.000₫,Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0079VN),24.490.000₫,"• Đã bán 3,5k",-0.06,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,4.9,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-15,https://www.thegioididong.com/laptop,19.990.000₫,Asus Vivobook 15 X1504VA Core 5 120U (BQ185WS),20.590.000₫,"• Đã bán 4,4k",,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-16,https://www.thegioididong.com/laptop,18.790.000₫,Dell 15 DC15255 R5 7530U (DC5R5802W1),19.390.000₫,"• Đã bán 2,6k",,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-17,https://www.thegioididong.com/laptop,17.490.000₫,MSI Modern 15 F13MG i5 1334U (667VN_16GB),20.190.000₫,• Đã bán 544,-0.13,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-18,https://www.thegioididong.com/laptop,34.490.000₫,MacBook Air 15 inch M5 16GB/512GB,34.990.000₫,• Đã bán 123,,So sánh,Quà  500.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,500.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/363477/macbook-air-15-inch-m5-16gb-512gb-thumb-3-639086563689736816-600x600.jpg
1778051875-19,https://www.thegioididong.com/laptop,20.290.000₫,HP 15 fd0234TU Core 5 120U (9Q969PA-120U),21.390.000₫,• Đã bán 3k,-0.05,So sánh,Quà  100.000₫,RAM 16 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
1778051875-20,https://www.thegioididong.com/laptop,15.990.000₫,HP 240R G10 Core 3 100U (C3RU6AT),16.990.000₫,• Đã bán 650,-0.05,So sánh,Quà  100.000₫,RAM 8 GB,SSD 512 GB,5.0,Trả chậm 0% trả trước 0đ,100.000₫,
